Maintainers by package:
0ad                  kalev limb pcpa
python-azure-mgmt-cognitiveservices jcline
python-azure-mgmt-compute jcline
python-azure-mgmt-consumption jcline
python-azure-mgmt-containerinstance jcline
python-azure-mgmt-containerregistry jcline
python-azure-mgmt-containerservice jcline
python-azure-mgmt-cosmosdb jcline
python-azure-mgmt-databoxedge jcline
python-azure-mgmt-datalake-analytics jcline
python-azure-mgmt-datalake-store jcline
python-azure-mgmt-datamigration jcline
python-azure-mgmt-devtestlabs jcline
python-azure-mgmt-dns jcline
python-azure-mgmt-eventgrid jcline
python-azure-mgmt-eventhub jcline
python-azure-mgmt-extendedlocation jcline
python-azure-mgmt-hdinsight jcline
python-azure-mgmt-imagebuilder jcline
python-azure-mgmt-iotcentral jcline
python-azure-mgmt-iothub jcline
python-azure-mgmt-iothubprovisioningservices jcline
python-azure-mgmt-keyvault jcline
python-azure-mgmt-kusto jcline
python-azure-mgmt-loganalytics jcline
python-azure-mgmt-managedservices jcline
python-azure-mgmt-managementgroups jcline
python-azure-mgmt-maps jcline
python-azure-mgmt-marketplaceordering jcline
python-azure-mgmt-media jcline
python-azure-mgmt-monitor jcline
python-azure-mgmt-msi jcline
python-azure-mgmt-netapp jcline
python-azure-mgmt-network jcline
python-azure-mgmt-privatedns jcline
python-azure-mgmt-recoveryservices jcline
python-azure-mgmt-recoveryservicesbackup jcline
python-azure-mgmt-redhatopenshift jcline
python-azure-mgmt-redis jcline
python-azure-mgmt-relay jcline
python-azure-mgmt-search jcline
python-azure-mgmt-security jcline
python-azure-mgmt-servicebus jcline
python-azure-mgmt-servicefabric jcline
python-azure-mgmt-servicefabricmanagedclusters jcline
python-azure-mgmt-servicelinker jcline
python-azure-mgmt-signalr jcline
python-azure-mgmt-sqlvirtualmachine jcline
python-azure-mgmt-storage jcline
python-azure-mgmt-subscription jcline
python-azure-mgmt-synapse jcline
python-azure-mgmt-trafficmanager jcline
python-azure-mgmt-web jcline
python-b2sdk         jonny
python-babelfish     jorti
python-backlash      kevin ondrejj
python-backoff       abompard nikromen praiskup
python-basemap       limb
python-batalgorithm  iztokf
python-beaker        jonathanspw
python-beanbag       kevin
python-beautifulsoup4 jonathanspw kevin mrunge stevetraylen terjeros
python-beautifultable fab
python-biscuits      jonathanspw
python-bitarray      nb
python-bitstring     cottsay
python-bitstruct     jonathanspw
python-black         cheimes churchyard
python-blessed       abompard aviso
python-blessings     salimma
python-blinker       jamatos pjp swt2c
python-boolean.py    lbalhar
python-booleanoperations athoscr
python-bottle        aekoroglu fedepell
python-bottle-sqlite fedepell
python-branca        qulogic
python-btrfs         jorti
python-caja          monnerat raveit65
python-capturer      cottsay
python-casttube      pbrobinson
python-catkin_lint   cottsay orphan
python-celery        abompard frantisekz humaton mrunge ngompa pingou
python-cerberus      ngompa rcallicotte
python-cerealizer    spot
python-cftime        orion
python-chai          kevin pingou romaingeissler1a
python-chameleon     ondrejj
python-cheroot       ignatenkobrain jcaratzas radez
python-cherrypy      ignatenkobrain jcaratzas limb radez
python-ciso8601      fab
python-claripy       fab mikep
python-cleo          thrnciar
python-cli-helpers   terjeros
python-click-completion chedi ngompa
python-click-default-group eclipseo
python-click-didyoumean frantisekz
python-click-log     mbaldessari salimma
python-click-man     lachmanfrantisek sgallagh
python-click-repl    frantisekz
python-click-spinner thebeanogamer
python-click-threading astra mbaldessari salimma
python-cloud-sptheme kevin
python-cloudflare    nb turboben
python-cmarkgfm      dcavalca salimma
python-cmd2          jcapitao ktdreyer
python-colander      jonathanspw
python-collada       hobbes1069
python-collectd_systemd stevetraylen
python-colorclass    rebus
python-colored-traceback mikep
python-coloredlogs   cottsay
python-colorlog      vtrefny
python-colorspacious fed500
python-colorzero     thrnciar
python-constantly    eclipseo jonathanspw romaingeissler1a
python-construct     terjeros
python-contextualbandits iztokf
python-convertdate   vtrefny
python-cov-core      abompard trawets
python-coverage_pth  radez
python-coveralls     bcl
python-cpio          jamatos kevin
python-crank         kevin ondrejj
python-crashtest     thrnciar
python-crayons       lbalhar
python-crcmod        dcavalca kkeithle van
python-cro           iztokf
python-croniter      jcapitao
python-cson          spot
python-cssmin        iztokf
python-cssselect     echevemaster kevin kkeithle romaingeissler1a
python-curtsies      salimma terjeros
python-cwcwidth      terjeros
python-cycler        jonathanspw nbecker
python-daemonize     jonathanspw
python-dbf           jujens
python-dbfread       jujens
python-debianbts     huzaifas
python-deepdiff      jussilehtola romaingeissler1a
python-defcon        music
python-dict-sorted   fale jonathanspw
python-dictdiffer    jmontleon
python-distlib       cottsay cstratak
python-django-ajax-selects lbazan
python-django-allauth ngompa salimma
python-django-angular aekoroglu besser82 mrunge
python-django-authority aekoroglu mrunge
python-django-cache-url dcavalca salimma
python-django-compressor aekoroglu mrunge salimma
python-django-cors-headers aekoroglu
python-django-crispy-forms lbazan
python-django-database-url jorti salimma
python-django-debreach jpena
python-django-debug-toolbar aekoroglu ignatenkobrain mrunge
python-django-formtools jpena mrunge
python-django-gravatar2 ngompa salimma
python-django-health-check dmsimard
python-django-js-asset aekoroglu
python-django-macros goeran
python-django-markdownx lbazan
python-django-mptt   aekoroglu ignatenkobrain mrunge
python-django-pglocks aekoroglu
python-django-picklefield ngompa salimma
python-django-pipeline aekoroglu mrunge sgallagh
python-django-pytest aekoroglu mrunge
python-django-q      ngompa salimma
python-django-redis  mrunge salimma
python-django-reversion aekoroglu mrunge
python-django-rq     aekoroglu
python-django-search-url dcavalca salimma
python-django-storages aekoroglu
python-django-tables2 aekoroglu ignatenkobrain mrunge
python-django-tagging aekoroglu mrunge
python-django-taggit aekoroglu
python-django-taggit-serializer aekoroglu
python-django-tastypie aekoroglu mrunge stevetraylen
python-django-timezone-field aekoroglu
python-djangoql      aekoroglu
python-dkimpy        ngompa salimma
python-dns-lexicon   nb turboben
python-docker-squash goldmann
python-dockerfile-parse cverna lslebodn maxamillion ttomecek twaugh
python-dogpile-cache jonathanspw
python-doit          jamatos
python-dotmap        iztokf
python-doubleratchet fed500
python-dpkt          mbaldessari
python-dtopt         jonathanspw
python-ecdsa         jonathanspw orion
python-elementpath   churchyard thrnciar
python-empy          filiperosset
python-enthought-sphinx-theme orion
python-entrypoints   lbalhar orion
python-environs      sagitter
python-ephem         smani
python-et_xmlfile    ignatenkobrain jujens
python-etcd          neil
python-eventlet      allhailwesttexas ignatenkobrain kevin
python-execnet       ktdreyer thm
python-executing     lbalhar orange-kao pwouters rominf thrnciar
python-exif          terjeros
python-exoscale      orange-kao pwouters rominf rommell
python-factory-boy   jorti mikelo2
python-faker         jorti mikelo2
python-fauxquests    fale jonathanspw
python-feedparser    canderson9
python-fido2         orion
python-filelock      cottsay
python-filetype      gbcox
python-firehose      athoscr dmalcolm
python-fissix        orphan
python-fixit         dcavalca salimma
python-flake8        aekoroglu fale mrunge sgallagh
python-flake8-polyfill cottsay
python-flask-admin   encukou pingou
python-flask-caching frantisekz lbrabec
python-flask-compress smani
python-flask-cors    frantisekz
python-flask-gravatar devrim smani
python-flask-healthz jonathanspw ngompa
python-flask-httpauth jpena
python-flask-login   smani
python-flask-mail    devrim jonathanspw ngompa
python-flask-mako    kevin
python-flask-multistatic pingou
python-flask-openid  frantisekz pjp
python-flask-paranoid devrim smani
python-flask-principal smani
python-flask-security-too smani
python-flask-sqlalchemy frantisekz pjp tflink
python-flock         cottsay
python-folium        orange-kao pwouters rominf rommell
python-fontMath      athoscr
python-formencode    ondrejj
python-freecell_solver shlomif
python-freeipa       jonathanspw ngompa
python-frozendict    orion
python-fuckit        bytehackr
python-fuse          jorti
python-fuzzyfinder   jonathanspw
python-gearbox       kevin ondrejj
python-gelidum       davidsch
python-geojson       canderson9
python-getmac        hargonix
python-gettext       ngompa
python-gevent        ignatenkobrain kkeithle orion sagitter
python-gevent-eventemitter atim
python-git-changelog topazus vanessakris
python-gitapi        jujens
python-github3py     abbra ignatenkobrain
python-glob2         jujens
python-gmqtt         fab
python-gnupg         fale orange-kao pwouters rominf rommell
python-google-i18n-address orange-kao pwouters rominf rommell
python-graphql-core  gui1ty
python-graphviz      eclipseo jonathanspw
python-gstreamer1    farnz wtaymans
python-gunicorn      ngompa romaingeissler1a
python-h2            eclipseo rjeffman
python-hgapi         jujens
python-hglib         terjeros
python-hidapi        jonny peter
python-howdoi        salimma
python-hpack         eclipseo rjeffman
python-html5-parser  kevin
python-html5lib      churchyard pjp sagitter salimma
python-http-client   lbalhar
python-httpagentparser smani
python-httpbin       adamwill
python-httpsig-cffi  terjeros
python-httptools     aekoroglu
python-humanfriendly cottsay
python-humanize      stevetraylen
python-hupper        kevin
python-hyperframe    eclipseo rjeffman
python-hyperlink     eclipseo jonathanspw
python-i3ipc         alebastr
python-idstools      jtaylor marcindulak
python-ifaddr        aekoroglu rjeffman
python-incremental   ykarel
python-inflect       dshea
python-inflection    jonathanspw
python-influxdb      hvad
python-interrogate   iztokf
python-ipmi          lbazan
python-iso3166       melmorabity
python-itemadapter   echevemaster
python-itemloaders   echevemaster
python-jack-client   eeickmeyer
python-jaraco-classes jcaratzas radez
python-jaraco-collections radez
python-jaraco-envs   cstratak
python-jaraco-functools jcaratzas radez
python-jaraco-packaging jcaratzas radez
python-jaraco-path   churchyard thrnciar
python-jaraco-text   kkeithle omos radez
python-jcconv        besser82
python-jeepney       goeran
python-jellyfish     mbaldessari
python-jinja2-cli    jujens
python-jinja2-time   fedepell
python-jinja2_pluralize dshea
python-jnius         raphgro
python-jsmin         aekoroglu salimma
python-json-logger   lbalhar
python-json-minify   qulogic
python-jsonref       abompard
python-kajiki        kevin ondrejj
python-kanboard      netvor
python-kaptan        bowlofeggs dcavalca jcline
python-keep          salimma
python-kgb           jonathanspw
python-kitchen       kevin pingou
python-knack         jcline mhayden
python-kombu         frantisekz mrunge ngompa pingou pjp
python-leather       jujens
python-libdiscid     aekoroglu
python-libtmux       dcavalca
python-linecache2    salimma
python-lmdb          jruzicka
python-locket        jonathanspw orion
python-lockfile      kevin tdawson thrnciar xavierb
python-logutils      limb
python-logzero       somlo
python-lunr          smani
python-lupa          salimma
python-lz4           jonathanspw orion
python-magic         dcavalca
python-mailer        aekoroglu
python-mailmerge     thunderbirdtr
python-manatools     jonathanspw ngompa thunderbirdtr
python-maps          jonathanspw
python-marathon      aekoroglu apevec
python-markdown-math jamatos
python-markdown2     thm
python-matplotlib-inline lbalhar salimma
python-mechanicalsoup fab
python-mechanize     mohanboddu
python-memcached     apevec fedepell jonathanspw sgallagh
python-mergedeep     smani
python-micawber      jamatos
python-migen         somlo
python-mimerender    adamwill
python-minidb        fab
python-minikerberos  fedepell
python-minimock      limb
python-mitogen       fab
python-mkdocs-redirects dcavalca
python-mnemonic      jonny
python-mock-ssh-server raphgro
python-mockito       noon
python-modernize     jonathanspw
python-modestmaps    cottsay
python-molmass       fuller
python-mongoengine   smani
python-mongomock     smani
python-more-itertools aarem churchyard jcaratzas rominf
python-moreorless    salimma
python-mplcairo      qulogic
python-mplcursors    qulogic
python-multi_key_dict cottsay
python-munch         kevin
python-musicbrainzngs hannes
python-mwclient      adamwill
python-myhdl         filiperosset
python-nashpy        iztokf
python-natsort       jamatos robert
python-nbformat      jonathanspw orion
python-netdisco      thebeanogamer
python-netmiko       divius
python-niaaml        iztokf
python-niapy         ankursinha iztokf
python-nibabel       ankursinha ignatenkobrain
python-nltk          jamatos salimma
python-nmrglue       nonamedotc
python-noggin-messages jonathanspw ngompa
python-noiseprotocol dcavalca
python-npyscreen     ngompa
python-ns1-python    ignatenkobrain
python-ntplib        vpodzime
